area,areaId,v_2021,sd_2021,i_2021,v_2024,sd_2024,i_2024,reference_high,reference_low,thr,n_2021,n_2024,q25_2021,q25_2024,q75_2021,q75_2024,boot_low_2021,boot_low_2024,boot_high_2021,boot_high_2024
Nord-Norge,1,0.4819948894033114,0.008143371493789428,0.4819948894033114,0.4856353118867691,0.005680071183932382,0.4856353118867691,1,0,0.6,380,542,0.3392923660198277,0.35420695550222964,0.543335185754872,0.5423414894327456,0.4648255589804476,0.4741193472970188,0.49553201495578425,0.4979370211287808
Midt-Norge,2,0.440135869992907,0.01379732853827372,0.440135869992907,0.4781332970613763,0.006751360778302377,0.4781332970613763,1,0,0.6,330,581,0.32108138224501415,0.3552670320583016,0.5344304036058702,0.548099258876885,0.40796413113190194,0.462930786822116,0.4651879426629255,0.49206218218450143
Østlandet,3,0.43884324421310295,0.014547211263835005,0.43884324421310295,0.4078948380626391,0.012523637032588361,0.4078948380626391,1,0,0.6,288,362,0.3062057693263001,0.28225187625341785,0.5411123251064746,0.5217413344303442,0.410325238010504,0.38791476337652114,0.46934145295662666,0.4357562050725594
Vestlandet,4,0.4184113262630532,0.019168936317074926,0.4184113262630532,0.4141384082542386,0.01754194006265379,0.4141384082542386,1,0,0.6,135,112,0.32410738110485504,0.32400790715852695,0.5204727671586158,0.5259504270549384,0.3972928215130669,0.3956786569549335,0.4623698512621587,0.466897988732254
Sørlandet,5,0.40694005119651744,0.019856260156885654,0.40694005119651744,0.36780524185538177,0.01759782733685047,0.36780524185538177,1,0,0.6,112,112,0.2747201973251781,0.2976131474212162,0.5086585255772996,0.5119010753363309,0.3765601611922083,0.34461997544099765,0.4508584295117116,0.4052128609977956
Norge,0,0.4512385258594924,0.006750292463279864,0.4512385258594924,0.4614358391224808,0.0059274024287586415,0.4614358391224808,1,0,0.6,1245,1709,0.3194157193815552,0.33136724990165223,0.5354480409686033,0.5384519221913577,0.43592033744999586,0.4499157330957339,0.4636781285960729,0.47187098069975414
