area,areaId,v_2023,sd_2023,i_2023,reference_high,reference_low,thr,n,n_scaled,n_ref,n_zero,boot_low,boot_high,area_km2
Nord-Norge,1,10.212597869358596,0.0362613057583247,0.6477198202502086,177.746429147488,0.141392498501815,0.6,4917,1748,2524,645,0.573700126071173,0.714606047617972,88.07992142184857
Midt-Norge,2,26.78894898954036,0.0014012560473388854,0.974348443505501,177.746429147488,0.141392498501815,0.6,200934,17205,181540,2189,0.971519958759711,0.976926594157395,1590.6653647116727
Østlandet,3,22.427954841344643,9.520609448866888e-4,0.9708457076956668,177.746429147488,0.141392498501815,0.6,446468,40017,398871,7580,0.968933596935832,0.972591173930534,4152.860200000023
Vestlandet,4,21.215418252034006,0.0015447607249012244,0.9580119875214647,177.746429147488,0.141392498501815,0.6,221250,22178,195485,3587,0.954931178950509,0.960998023768345,779.5165999999995
Sørlandet,5,18.18763306115341,9.212643172021457e-4,0.9761596384319782,177.746429147488,0.141392498501815,0.6,278334,15928,260332,2074,0.974308740311956,0.977996271808336,1158.0713999999978
Norge,0,21.506192662706418,8.804274042095551e-4,0.9674039850770849,177.746429147488,0.141392498501815,0.6,1151903,97076,1038752,16075,0.9655945985709355,0.9691737363306102,7769.193486133542
