id,region,vegClimZoneLab,index,pop,ref,skog,naturtype,tilstand,kartleggingsår
NINFP2110024363,Østlandet,Nordboreal sone (NB),1,0.187796697336346,0.1333722601996528,6.176461364746097,Rik åpen jordvannsmyr i nordboreal og lavalpin sone,god,2021
NINFP1810037098,Midt-Norge,Boreonemoral sone (BN),0.9998,0.17266633021591,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810013654,Sørlandet,Boreonemoral sone (BN),0.9985,2.07882114370622,1.7234797159830728,10.968219366073608,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2110018941,Sørlandet,Nordboreal sone (NB),0.9999,0.252357603448483,0.16949232313368057,6.457159194946289,Semi-naturlig myr,dårlig,2021
NINFP2210082739,Nord-Norge,Mellomboreal sone (MB),0.9628,1.21646771450186,0.32338532765706385,6.634419552087784,Semi-naturlig våteng,dårlig,2022
NINFP1810006652,Østlandet,Sørboreal sone (SB),0.9791,2.89186515346765,1.82999516805013,11.313953018188476,"Flommyr, myrkant og myrskogsmark",sværtRedusert,2018
NINFP1810045556,Midt-Norge,Boreonemoral sone (BN),1,0.0100605665124955,0.0364764059914483,8.505414155006413,Kystnedbørsmyr,god,2018
NINFP2610220325,Østlandet,Sørboreal sone (SB),0.9232,3.63782210423294,1.82999516805013,11.313953018188476,Gammel fattig sumpskog,moderat,2025
NINFP2010055613,Midt-Norge,Boreonemoral sone (BN),1,0.0100942934133102,0.0364764059914483,8.505414155006413,Sørlig nedbørsmyr,god,2020
NINFP2010034304,Østlandet,Boreonemoral sone (BN),0.4927,6.01240465682037,1.559071621365017,11.331133085250856,Kilde-edellauvskog,dårlig,2020
NINFP2210080681,Vestlandet,Boreonemoral sone (BN),0.9951,0.811313741057005,0.11622073703342016,11.204487661361696,Semi-naturlig myr,god,2022
NINFP1910032747,Midt-Norge,Sørboreal sone (SB),1,0.0304564941121937,0.6346605428059896,9.350461395263672,Sørlig nedbørsmyr,dårlig,2019
NINFP1810028880,Midt-Norge,Boreonemoral sone (BN),0.9999,0.1485946480872,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP2410149253,Midt-Norge,Boreonemoral sone (BN),1,0.0191875892158704,0.0364764059914483,8.505414155006413,Atlantisk høymyr,moderat,2024
NINFP2310124834,Østlandet,Mellomboreal sone (MB),0.7781,3.55567555500546,0.5590415785047743,10.507604438781735,Gammel fattig sumpskog,god,2023
NINFP2510212373,Midt-Norge,Sørboreal sone (SB),1,0.0791676699960876,0.6346605428059896,9.350461395263672,Sørlig nedbørsmyr,sværtRedusert,2025
NINFP1810001548,Østlandet,Sørboreal sone (SB),0.32489999999999997,7.02501648321871,1.82999516805013,11.313953018188476,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP1910014030,Østlandet,Boreonemoral sone (BN),0.9897,2.38041482168862,1.559071621365017,11.331133085250856,Semi-naturlig våteng,dårlig,2019
NINFP2210102489,Midt-Norge,Nordboreal sone (NB),0.8375,1.8413345156816,0.19403215196397572,6.476105743408203,Rik åpen jordvannsmyr i mellomboreal sone,god,2022
NINFP2410156101,Nord-Norge,Mellomboreal sone (MB),1,0.0332110564004927,0.32338532765706385,6.634419552087784,Platåhøymyr,god,2024
NINFP2210107537,Nord-Norge,Mellomboreal sone (MB),1,0.0112531261226841,0.32338532765706385,6.634419552087784,Eksentrisk høymyr,god,2022
NINFP2110035488,Vestlandet,Boreonemoral sone (BN),1,0.0109439679036401,0.11622073703342016,11.204487661361696,Semi-naturlig myr,god,2021
NINFP1810012042,Sørlandet,Boreonemoral sone (BN),0.02510000000000001,9.69353177565103,1.7234797159830728,10.968219366073608,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP1810033395,Nord-Norge,Mellomboreal sone (MB),1,0.0367302431136971,0.32338532765706385,6.634419552087784,Kalkrik myr- og sumpskogsmark,dårlig,2018
NINFP1810018622,Østlandet,Sørboreal sone (SB),0,12.3942510883251,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP2510186474,Nord-Norge,Mellomboreal sone (MB),1,0.0109806506990415,0.32338532765706385,6.634419552087784,Øyblandingsmyr,god,2025
NINFP2010023761,Midt-Norge,Sørboreal sone (SB),0.7996,3.14225660009722,0.6346605428059896,9.350461395263672,Rik åpen sørlig jordvannsmyr,god,2020
NINFP2210078532,Sørlandet,Boreonemoral sone (BN),0.03090000000000004,9.53827197235329,1.7234797159830728,10.968219366073608,Rik svartorsumpskog,moderat,2022
NINFP2210086132,Østlandet,Boreonemoral sone (BN),0.02629999999999999,9.94879543493269,1.559071621365017,11.331133085250856,Rik svartorsumpskog,god,2022
NINFP2010012388,Østlandet,Boreonemoral sone (BN),0.7679,4.56331695781191,1.559071621365017,11.331133085250856,Rik svartorstrandskog,moderat,2020
NINFP1810011880,Vestlandet,Boreonemoral sone (BN),0.9999,0.231231329250823,0.11622073703342016,11.204487661361696,Rik åpen sørlig jordvannsmyr,god,2018
NINFP1810024815,Midt-Norge,Boreonemoral sone (BN),1,0.0526829639954697,0.0364764059914483,8.505414155006413,Kystnedbørsmyr,dårlig,2018
NINFP2310144130,Sørlandet,Boreonemoral sone (BN),1,0.31745472228975,1.7234797159830728,10.968219366073608,Rik svartorsumpskog,dårlig,2023
NINFP2310117987,Vestlandet,Boreonemoral sone (BN),1,0.0100336870578392,0.11622073703342016,11.204487661361696,Semi-naturlig myr,god,2023
NINFP2110068029,Vestlandet,Boreonemoral sone (BN),1,0.198369218899875,0.11622073703342016,11.204487661361696,Kalkrik helofyttsump,god,2021
NINFP2010021275,Nord-Norge,Mellomboreal sone (MB),0.8049,2.11719797731578,0.32338532765706385,6.634419552087784,Gammel fattig sumpskog,god,2020
NINFP2110036303,Nord-Norge,Nordboreal sone (NB),1,0.0153902672425811,0.30684792412651907,5.821801155090335,Palsmyr,god,2021
NINFP1810038603,Midt-Norge,Boreonemoral sone (BN),1,0.0191234971034787,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810039822,Midt-Norge,Boreonemoral sone (BN),1,0.0101235068682844,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810032733,Nord-Norge,Mellomboreal sone (MB),1,0.294077717566787,0.32338532765706385,6.634419552087784,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP2410173313,Vestlandet,Nordboreal sone (NB),0.8279,2.54559526314146,0.07295579698350695,9.269392410278323,Semi-naturlig våteng,sværtRedusert,2024
NINFP1810016192,Nord-Norge,Mellomboreal sone (MB),1,0.0267504759169732,0.32338532765706385,6.634419552087784,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP1810034454,Nord-Norge,Mellomboreal sone (MB),1,0.034183732848759,0.32338532765706385,6.634419552087784,Åpen myrflate i boreonemoral til nordboreal sone,dårlig,2018
NINFP1810005733,Østlandet,Sørboreal sone (SB),0.8999,3.85030390274865,1.82999516805013,11.313953018188476,"Flommyr, myrkant og myrskogsmark",moderat,2018
NINFP1810042986,Østlandet,Mellomboreal sone (MB),0.05010000000000003,8.52989370773002,0.5590415785047743,10.507604438781735,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP1810011779,Midt-Norge,Boreonemoral sone (BN),1,0.0369849191179326,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP2410150327,Nord-Norge,Sørboreal sone (SB),1,0.0175129617291031,0.16896093156602648,6.985200634002686,Høgereligende og nordlig nedbørsmyr,moderat,2024
NINFP2210112420,Midt-Norge,Sørboreal sone (SB),1,0.255067844879844,0.6346605428059896,9.350461395263672,Sørlig nedbørsmyr,god,2022
NINFP1910019892,Nord-Norge,Mellomboreal sone (MB),1,0.291925495566068,0.32338532765706385,6.634419552087784,Rik åpen jordvannsmyr i mellomboreal sone,god,2019
NINFP1810015304,Østlandet,Sørboreal sone (SB),0.9797,2.87893807087376,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP2510215301,Nord-Norge,Mellomboreal sone (MB),0.6013999999999999,2.8438009076823,0.32338532765706385,6.634419552087784,Semi-naturlig våteng,sværtRedusert,2025
NINFP1810022390,Midt-Norge,Nordboreal sone (NB),1,0.218511499844122,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1910018235,Nord-Norge,Mellomboreal sone (MB),0.14070000000000005,4.62774941126181,0.32338532765706385,6.634419552087784,Rik åpen jordvannsmyr i mellomboreal sone,god,2019
NINFP2210094452,Midt-Norge,Mellomboreal sone (MB),1,0.152231741707362,0.5928209092881944,7.7255006103515615,Rik åpen jordvannsmyr i mellomboreal sone,god,2022
NINFP1810023133,Østlandet,Sørboreal sone (SB),0.6972,5.13243787754359,1.82999516805013,11.313953018188476,Kalkrik myr- og sumpskogsmark,sværtRedusert,2018
NINFP2010053289,Østlandet,Mellomboreal sone (MB),0.017000000000000015,9.42255276936968,0.5590415785047743,10.507604438781735,Rik gråorsumpskog,dårlig,2020
NINFP2310130988,Midt-Norge,Mellomboreal sone (MB),1,0.544370682064266,0.5928209092881944,7.7255006103515615,Slåttemyr,moderat,2023
NINFP1810038474,Nord-Norge,Mellomboreal sone (MB),1,0.0246299428632014,0.32338532765706385,6.634419552087784,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810026953,Midt-Norge,Nordboreal sone (NB),1,0.023725478967061,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1910015869,Midt-Norge,Sørboreal sone (SB),1,0.010050455292619,0.6346605428059896,9.350461395263672,Sørlig nedbørsmyr,moderat,2019
NINFP2110021574,Nord-Norge,Mellomboreal sone (MB),0.9999,0.402063446370212,0.32338532765706385,6.634419552087784,Semi-naturlig våteng,sværtRedusert,2021
NINFP2510188045,Sørlandet,Boreonemoral sone (BN),1,1.61087256106134,1.7234797159830728,10.968219366073608,Semi-naturlig myr,sværtRedusert,2025
NINFP1810030453,Midt-Norge,Nordboreal sone (NB),1,0.0503323939641801,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,moderat,2018
NINFP1810046088,Midt-Norge,Nordboreal sone (NB),1,0.0206700087418253,0.19403215196397572,6.476105743408203,Åpen myrflate i boreonemoral til nordboreal sone,dårlig,2018
NINFP2010019749,Vestlandet,Boreonemoral sone (BN),0.9946,0.83404386601996,0.11622073703342016,11.204487661361696,Rik åpen sørlig jordvannsmyr,god,2020
NINFP1810040223,Midt-Norge,Boreonemoral sone (BN),1,0.0100938810925315,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810045804,Midt-Norge,Boreonemoral sone (BN),1,0.105719362278743,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1910037356,Vestlandet,Boreonemoral sone (BN),1,0.0157855005074545,0.11622073703342016,11.204487661361696,Semi-naturlig myr,sværtRedusert,2019
NINFP1810042204,Østlandet,Mellomboreal sone (MB),0.6753,4.14277977336302,0.5590415785047743,10.507604438781735,"Flommyr, myrkant og myrskogsmark",sværtRedusert,2018
NINFP1910021561,Østlandet,Sørboreal sone (SB),0.06640000000000001,9.15530054172066,1.82999516805013,11.313953018188476,Rik gransumpskog,sværtRedusert,2019
NINFP2510185220,Nord-Norge,Mellomboreal sone (MB),1,0.0378029717291438,0.32338532765706385,6.634419552087784,Atlantisk høymyr,moderat,2025
NINFP1810029148,Midt-Norge,Boreonemoral sone (BN),0.9998,0.195638522026064,0.0364764059914483,8.505414155006413,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP1810018760,Midt-Norge,Mellomboreal sone (MB),1,0.193552134686957,0.5928209092881944,7.7255006103515615,Åpen myrflate i boreonemoral til nordboreal sone,god,2018
NINFP2410176530,Midt-Norge,Boreonemoral sone (BN),0.9992,0.291548671376894,0.0364764059914483,8.505414155006413,Terrengdekkende myr,god,2024
NINFP1810045286,Vestlandet,Boreonemoral sone (BN),0.9794,1.35177574144818,0.11622073703342016,11.204487661361696,"Flommyr, myrkant og myrskogsmark",god,2018
NINFP2010001993,Midt-Norge,Boreonemoral sone (BN),1,0.0100797826939874,0.0364764059914483,8.505414155006413,Sørlig nedbørsmyr,moderat,2020
NINFP2010021112,Midt-Norge,Sørboreal sone (SB),1,0.469499297181081,0.6346605428059896,9.350461395263672,Eksentrisk høymyr,god,2020
NINFP2010005115,Sørlandet,Boreonemoral sone (BN),0.5685,5.57372845293488,1.7234797159830728,10.968219366073608,Rik svartorsumpskog,sværtRedusert,2020
NINFP2010024604,Nord-Norge,Mellomboreal sone (MB),1,0.15352450641134,0.32338532765706385,6.634419552087784,Rik åpen jordvannsmyr i mellomboreal sone,god,2020
NINFP1810036474,Sørlandet,Boreonemoral sone (BN),0.9996,1.92468113420913,1.7234797159830728,10.968219366073608,Rik åpen sørlig jordvannsmyr,dårlig,2018
NINFP2310134550,Sørlandet,Boreonemoral sone (BN),1,1.54483680501048,1.7234797159830728,10.968219366073608,Sørlig nedbørsmyr,sværtRedusert,2023
