"id","meta_chm_mean","meta_chm_median","meta_chm_n","n_tiles","chm_source","model_input_res_m","ortho_source","region_filter"
"NINFP2310141320",6.27594325169404,6.49430775642395,13832,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810012569",4.69593544093963,4.34033799171448,4382,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110011435",3.50323031323926,2.24555814266205,15060,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1910048764",2.20214927264372,0.16131704300642,27442,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2510216246",1.53119958204337,0.396097019314766,27346,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810026715",3.91544323763128,3.53625631332397,9389,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2510186609",4.78865709508399,5.03000545501709,6309,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2410163890",0.877868838535665,0.0649246722459793,4554,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110013421",2.69502081155709,2.21660232543945,7965,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2210076465",3.60624638010522,3.36915421485901,5428,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2510200408",7.79139794783961,8.07673072814941,26429,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810009622",1.51223425445796,0.365873068571091,349782,14,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2410184116",0.272825689408594,0.0150447441264987,472551,17,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2210097918",1.57107554440759,0.373630106449127,12405,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2010009018",1.61553275895392,0.122128494083881,12223,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110017128",5.14353929503938,5.41090106964111,19463,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810011112",1.31741809164956,0.0333387330174446,6041,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2010005605",0.238092279816562,0.0218929890543222,11143,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2010026632",5.85420623442807,6.46594524383545,24352,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110039372",0.657565420014729,0.0101725375279784,32755,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2510187713",3.88112488831735,2.7008615732193,30906,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810041890",3.35059087180539,1.99859881401062,57735,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2310143992",0.0123486165647654,0.0105480216443539,13099,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1810033225",3.56978025508707,3.29927659034729,4708,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2410159732",0.24092896441484,0.011675036046654,495830,18,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2210112071",7.31384861275937,7.33077883720398,20572,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2510219143",0.174239908198486,0.0112450351007283,43002,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2310142797",0.562954719933505,0.0127250533550978,6919,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2210078736",1.23262269734853,0.632715821266174,4563,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110067174",7.21543227513084,7.48463225364685,4214,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110032643",0.0137748244231541,0.0100326705724001,64558,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1910022743",6.37627621602628,6.64650392532349,11495,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2210102233",6.54386052677237,6.10899066925049,184905,22,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP1910035288",4.33625629185068,4.00352168083191,11478,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2010004483",1.52539661852663,0.5995032787323,11659,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
"NINFP2110010484",2.79437601201568,0.199901461601257,10746,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Ostlandet"
