"id","meta_chm_mean","meta_chm_median","meta_chm_n","n_tiles","chm_source","model_input_res_m","ortho_source","region_filter"
"NINFP1910019261",1.87150255785118,0.18173161149025,36770,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1910026911",0.347037732751637,0.0186845194548368,10621,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810036306",0.0710909560310838,0.0100915608927608,2933959,73,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810035338",0.224821299408091,0.0104730557650328,1151253,43,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210097835",0.213051757127246,0.033947667106986,4556,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2110035213",0.0235120939729255,0.0104362270794809,29760,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810031197",0.647406509383337,0.0273179933428764,6913,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2510204812",0.197982026838288,0.0180465001612902,10072,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2010039084",2.96491483662947,1.14107656478882,13951,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2010014477",0.0605671192242706,0.0105752423405647,15862,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210090069",0.0100603372214623,0.0100577101111412,10181,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2010040666",1.57618857744687,0.598284661769867,23305,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810034902",0.0853513879426456,0.0105905197560787,66267,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210088600",2.00293491053643,0.508426576852798,9052,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810035284",1.32653940390698,0.0989399775862694,25686,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2410150261",0.0103837760592659,0.0102227879688144,24379,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1910026336",2.86466859148958,1.72869521379471,10388,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1910019329",0.0549463936965684,0.0112703517079353,5287,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2110022889",0.408500069842119,0.013241573702544,4616,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210084137",0.0132395230734921,0.0101597071625292,62358,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2110045163",0.265234223387715,0.0113622145727277,14227,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2510185955",0.0776292604111046,0.0101889334619045,40017,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2010021715",3.46133332333191,3.15180909633636,5664,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2010049085",0.323607551905743,0.012017915956676,44744,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2110020762",0.17966477561891,0.0113607523962855,41275,6,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2510185464",0.0100984898407582,0.0100698247551918,13004,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2510193182",0.0102618725231232,0.0101442914456129,43545,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2410172249",0.407079615392098,0.0116970716044307,4056,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210101297",1.11717194152174,0.0879277884960175,5081,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2210090064",0.0100611146070332,0.0100554609671235,5793,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2410173219",0.18118663057089,0.010346217546612,9690,4,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810035099",0.0338054199233867,0.010292848572135,64353,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1910025869",1.84473967822885,0.678202211856842,1542,1,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810034581",0.875045194890372,0.0190000738948584,57914,5,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP2110033636",0.0278059451403733,0.0101661905646324,15399,3,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
"NINFP1810036358",0.0259481772881391,0.0103497691452503,12009,2,"meta_highrescanopyheight_orthophoto",0.5,"orthophoto_50cm_2025","Nord-Norge"
