"region","n","n_with_infra","mean_dist_without_infra","mean_dist_with_infra","ratio_pathway2","index_pathway1"
"Nord-Norge",4939,2417,213.217753379794,334.452956874354,0.637511940012224,0.647719820250209
"Midt-Norge",203192,22114,39.3545201016519,508.291732132,0.0774250644144488,0.974187008003396
"Vestlandet",224313,29421,59.263070444158,487.191256286533,0.121642311267802,0.957906257153691
"Østlandet",452287,54917,57.9998318529561,447.672714928749,0.12955855900708,0.970756792094139
"Sørlandet",280394,20546,55.1800256338517,502.786737534756,0.109748371455477,0.976022715292591
"NASJONALT",1165125,129415,54.9707553351222,473.650573020667,0.116057613916839,0.967275590643877
