ecosystem,period,Indicator,region,median,high,low,n,boot_low,boot_high
wetland,2019to2021,NO_FUNC_003,Norway,0.4512385258594924,0.5354480409686033,0.3194157193815552,1245,0.43592033744999586,0.4636781285960729
wetland,2019to2021,NO_FUNC_003,Northern,0.4819948894033114,0.543335185754872,0.3392923660198277,380,0.4648255589804476,0.49553201495578425
wetland,2019to2021,NO_FUNC_003,Central,0.440135869992907,0.5344304036058702,0.32108138224501415,330,0.40796413113190194,0.4651879426629255
wetland,2019to2021,NO_FUNC_003,Western,0.4184113262630532,0.5204727671586158,0.32410738110485504,135,0.3972928215130669,0.4623698512621587
wetland,2019to2021,NO_FUNC_003,Eastern,0.43884324421310295,0.5411123251064746,0.3062057693263001,288,0.410325238010504,0.46934145295662666
wetland,2019to2021,NO_FUNC_003,Southern,0.40694005119651744,0.5086585255772996,0.2747201973251781,112,0.37656016119220836,0.4508584295117116
wetland,2022to2024,NO_FUNC_003,Norway,0.4614358391224808,0.5384519221913577,0.33136724990165223,1709,0.4499157330957339,0.47187098069975414
wetland,2022to2024,NO_FUNC_003,Northern,0.4856353118867691,0.5423414894327456,0.35420695550222964,542,0.47411934729701877,0.4979370211287808
wetland,2022to2024,NO_FUNC_003,Central,0.47813329706137636,0.548099258876885,0.3552670320583016,581,0.46293078682211597,0.49206218218450143
wetland,2022to2024,NO_FUNC_003,Western,0.4141384082542386,0.5259504270549384,0.32400790715852695,112,0.3956786569549335,0.466897988732254
wetland,2022to2024,NO_FUNC_003,Eastern,0.4078948380626391,0.5217413344303442,0.28225187625341785,362,0.38791476337652114,0.4357562050725594
wetland,2022to2024,NO_FUNC_003,Southern,0.36780524185538177,0.5119010753363309,0.2976131474212162,112,0.34461997544099765,0.40521286099779563
