ecosystem,period,Indicator,region,median,high,low,n,boot_low,boot_high
wetland,2019to2021,Light1,Norway,0.5968684665023873,0.7052014393368042,0.5659723516561517,867,0.5938059027929711,0.5991429555755908
wetland,2019to2021,Light1,Northern,0.5969040765933941,0.6891103164921185,0.5667065020035904,250,0.5922803865880488,0.6049850366887665
wetland,2019to2021,Light1,Central,0.6091434749315621,0.7334538261897654,0.5767193228034071,223,0.5973316168477499,0.632849756732816
wetland,2019to2021,Light1,Western,0.5938066164685353,0.741169639919917,0.557306136200544,103,0.5802260424287855,0.6319489042189843
wetland,2019to2021,Light1,Eastern,0.5924728512237809,0.6772307065334168,0.5615651653689322,212,0.5839495794458058,0.5981956452231325
wetland,2019to2021,Light1,Southern,0.5940748945097698,0.6989948299251778,0.5619854438062768,79,0.5819063962413251,0.6075258011960905
wetland,2019to2021,Light2,Norway,0.5672445326561055,0.7970794818302845,0.46155562993752347,378,0.551454994416298,0.5836871689517751
wetland,2019to2021,Light2,Northern,0.5461255866115233,0.6825482450488061,0.4473336999794978,130,0.5157478925081964,0.5734532659155215
wetland,2019to2021,Light2,Central,0.574339322589817,0.8498800913770559,0.4297673535329808,107,0.5423469565814122,0.6645781586641247
wetland,2019to2021,Light2,Western,0.5801719578018052,0.7513839841274808,0.47528476119708546,32,0.49914535963293294,0.6759576790572085
wetland,2019to2021,Light2,Eastern,0.5784283860152541,0.7819756902569006,0.5202566706495373,76,0.557308527826425,0.6063495805521395
wetland,2019to2021,Light2,Southern,0.5836834989096542,0.9040467196858403,0.4532776026321591,33,0.5477104365138588,0.7590121091226807
wetland,2019to2021,Moist1,Norway,0.5663272661995782,0.6582173041264561,0.5155761513130248,1028,0.5599394479349519,0.5725661532080435
wetland,2019to2021,Moist1,Northern,0.5792888170342958,0.6782729509843084,0.5380950170801587,293,0.5706333056554613,0.5856138810559709
wetland,2019to2021,Moist1,Central,0.5753547108351368,0.6969139494838512,0.5006538319980629,296,0.5592472302189165,0.5890707974360369
wetland,2019to2021,Moist1,Western,0.570389831876918,0.6376335830482537,0.5300989498223823,120,0.5514265679644863,0.5845459805935521
wetland,2019to2021,Moist1,Eastern,0.5466925808584401,0.599184158676953,0.5065298271631368,229,0.5410351857050153,0.5609198752994775
wetland,2019to2021,Moist1,Southern,0.5341756466573713,0.6090169081959314,0.45657800364460766,90,0.5085832287334188,0.5601287030859295
wetland,2019to2021,Moist2,Norway,0.6967553354716056,0.8703705871139182,0.5465865783783865,217,0.6509396215095506,0.7596298449150599
wetland,2019to2021,Moist2,Northern,0.5981476715134979,0.8328849582035256,0.5214568519670882,87,0.5727089203150175,0.7285508843916606
wetland,2019to2021,Moist2,Central,0.797473556123174,0.9433830431912564,0.6270510742858404,34,0.737068842694639,0.9273398281842784
wetland,2019to2021,Moist2,Western,0.8633472067089756,0.900828381974018,0.7337317727046038,15,0.7606098514831916,0.8977394978166446
wetland,2019to2021,Moist2,Eastern,0.575861527454443,0.7729873786694932,0.5013811845191258,59,0.5303406162280364,0.6839844322692878
wetland,2019to2021,Moist2,Southern,0.8491546312534191,0.9480610849022968,0.6900417254232669,22,0.7122628607887045,0.932116351305196
wetland,2019to2021,pH1,Norway,0.45830072666294014,0.6793963672232056,0.31491643803357483,976,0.43391226808588024,0.4838714516894105
wetland,2019to2021,pH1,Northern,0.5018600247018469,0.693656989999951,0.3148111919553512,262,0.45719157900361007,0.5374824967252138
wetland,2019to2021,pH1,Central,0.4488903440360189,0.6808218833604861,0.33678159459322116,277,0.41856915777050807,0.48963988161000477
wetland,2019to2021,pH1,Western,0.4531978557940842,0.5939612045034963,0.32865721013920357,128,0.4024410974543976,0.523765110120239
wetland,2019to2021,pH1,Eastern,0.409968421651936,0.7169697181984829,0.27229498973242733,209,0.3619701836065715,0.4713885991082151
wetland,2019to2021,pH1,Southern,0.4595967724407067,0.6252528378966871,0.2916767590984771,100,0.4100122526806387,0.5404061896098109
wetland,2019to2021,pH2,Norway,0.7167685086530311,0.8776434765455048,0.5643450371791162,269,0.67623538451547,0.7678657416103509
wetland,2019to2021,pH2,Northern,0.6317076281025364,0.8305248499804634,0.5547418744282668,118,0.5830937100940149,0.7132965988855148
wetland,2019to2021,pH2,Central,0.8315833031398937,0.9038155559918712,0.5957389600006747,53,0.7167685086530311,0.8675048677700739
wetland,2019to2021,pH2,Western,0.7948743628083302,0.8335808942354264,0.6166956466245387,7,0.5118478244182683,0.8442924546894104
wetland,2019to2021,pH2,Eastern,0.7678657416103509,0.8933091967329158,0.571178209705276,79,0.6445880131430652,0.8220182449052731
wetland,2019to2021,pH2,Southern,0.7186291670280713,0.8987374911848067,0.5208617062945852,12,0.5178570790024795,0.9002178115815815
wetland,2019to2021,Nitrogen1,Norway,0.7204953533442158,0.8615655664954661,0.5249825447991319,746,0.7077904809837886,0.7460188712772458
wetland,2019to2021,Nitrogen1,Northern,0.7777485220326064,0.9097203936559068,0.5336262387800259,183,0.7241132645950379,0.8189904415729383
wetland,2019to2021,Nitrogen1,Central,0.7246698211125421,0.8512564753385656,0.5956984287287184,227,0.7033135261649999,0.7634138229970573
wetland,2019to2021,Nitrogen1,Western,0.7341587671549752,0.869822954656588,0.6093609912166162,98,0.6958479443094402,0.8146203888934551
wetland,2019to2021,Nitrogen1,Eastern,0.6631777803344568,0.8379758382408009,0.3575496509758943,158,0.6124603910497668,0.7148012193058835
wetland,2019to2021,Nitrogen1,Southern,0.7086384158537355,0.823855039641554,0.5535943383637734,80,0.6461849939806864,0.7561971044085153
wetland,2019to2021,Nitrogen2,Norway,0.6153102829228088,0.8097019703991248,0.5604818642635507,499,0.5953689066182751,0.6501066786758332
wetland,2019to2021,Nitrogen2,Northern,0.5892423406000388,0.7762197063040545,0.5507645803698435,197,0.5813686026451984,0.634414612321708
wetland,2019to2021,Nitrogen2,Central,0.6303288325535057,0.8557565580414463,0.5710871376736486,103,0.5897897897897898,0.6897133220910634
wetland,2019to2021,Nitrogen2,Western,0.751860011662265,0.9529174497439331,0.6165670431312951,37,0.6768915331386421,0.9457615340809922
wetland,2019to2021,Nitrogen2,Eastern,0.5998521450330068,0.7757837761323038,0.5496219131380691,130,0.5796291532939215,0.6681991609587585
wetland,2019to2021,Nitrogen2,Southern,0.6488757740043065,0.7929036509331718,0.5668762081916863,32,0.5934616140538533,0.7187898043135269
wetland,2022to2024,Light1,Norway,0.5921806628761779,0.6851081816240244,0.56561119050821,1217,0.5907209420814921,0.5941936897458376
wetland,2022to2024,Light1,Northern,0.5935893283429088,0.6941433214824024,0.5698024277158673,379,0.5900930264756082,0.5980170793588868
wetland,2022to2024,Light1,Central,0.5926576949224739,0.6752555636224393,0.5677104255368349,407,0.5901538989131768,0.5947027400941745
wetland,2022to2024,Light1,Western,0.617644893045042,0.7887687725638535,0.5644602236079219,73,0.5833151565359898,0.6685606589828591
wetland,2022to2024,Light1,Eastern,0.5892673520108469,0.6438762661593507,0.5557830355044451,275,0.5833617490641688,0.5921517081410798
wetland,2022to2024,Light1,Southern,0.5922434497482755,0.733670937414579,0.555042228030419,83,0.5738326968122108,0.6294190381039706
wetland,2022to2024,Light2,Norway,0.5600435596652034,0.7510262184940648,0.4363708784255207,492,0.5396612064185552,0.5824626854519764
wetland,2022to2024,Light2,Northern,0.536378496448055,0.7286374752476379,0.40428740883981507,163,0.5036417807023988,0.5707940181293857
wetland,2022to2024,Light2,Central,0.5800751976348262,0.8180136011371499,0.4473342774228216,174,0.5385049970732348,0.6201895286005891
wetland,2022to2024,Light2,Western,0.5650446827332395,0.7355596245330653,0.49546440213018195,39,0.537912194110824,0.6133232215500892
wetland,2022to2024,Light2,Eastern,0.5833528840008617,0.8204018927930534,0.4535236816781048,87,0.5342145226139088,0.6259987024931102
wetland,2022to2024,Light2,Southern,0.538267153125689,0.627584126068802,0.3907565539932405,29,0.4494046152731117,0.6112325025234254
wetland,2022to2024,Moist1,Norway,0.5605803695517271,0.6730004447615625,0.5133466361597022,1417,0.5549049638125947,0.565373131853725
wetland,2022to2024,Moist1,Northern,0.5576932145958235,0.6721503916616178,0.5216274815983677,418,0.5494756678286669,0.5655974985876115
wetland,2022to2024,Moist1,Central,0.5590140533977539,0.6907823332985121,0.5028193455920114,524,0.5499657878449176,0.5711973232109383
wetland,2022to2024,Moist1,Western,0.5904550623632518,0.7788993413927608,0.5453921398471261,102,0.5704362083756926,0.6230251350910112
wetland,2022to2024,Moist1,Eastern,0.5502610191437686,0.5970365957756758,0.483699958951168,279,0.5388023271190645,0.5606396422793904
wetland,2022to2024,Moist1,Southern,0.5722425372870645,0.6951697481271255,0.5092926530951051,94,0.5508739201123266,0.5955850706027956
wetland,2022to2024,Moist2,Norway,0.6965252704848975,0.8634845842576144,0.5315686555165073,292,0.6274730049813901,0.73510814210588
wetland,2022to2024,Moist2,Northern,0.6684642019978188,0.854637035844841,0.5297650689925876,124,0.5841926209989315,0.73510814210588
wetland,2022to2024,Moist2,Central,0.8454238569316844,0.9283965564595767,0.599955985674997,57,0.7281984610734795,0.9006494107361873
wetland,2022to2024,Moist2,Western,0.8643118239193364,0.9230713340239814,0.777708523265465,10,0.7541245827874015,0.941961780214119
wetland,2022to2024,Moist2,Eastern,0.5852061136974087,0.7969455692888161,0.475469035078228,83,0.5379944196301046,0.6347857107957586
wetland,2022to2024,Moist2,Southern,0.7935832264906918,0.8863120272888568,0.5997543786330994,18,0.6054537283638161,0.8768037857856077
wetland,2022to2024,pH1,Norway,0.47264647574227125,0.6570600599783696,0.3316817222767625,1286,0.45761140230557107,0.4920593326401857
wetland,2022to2024,pH1,Northern,0.4931038643068977,0.6614467087082325,0.35353764261288534,360,0.471436089681897,0.5190667037436372
wetland,2022to2024,pH1,Central,0.5107925996528647,0.6716608990167953,0.3698713610215848,461,0.49227770641596197,0.5397241705091119
wetland,2022to2024,pH1,Western,0.4584001710302985,0.617938468697546,0.33268439479700374,104,0.408179143215921,0.5002519575463984
wetland,2022to2024,pH1,Eastern,0.38911155214413845,0.6332628584103226,0.2571977150769331,265,0.3601972684215597,0.42201557410756174
wetland,2022to2024,pH1,Southern,0.38739704499849464,0.5774779381966233,0.3000180117605512,96,0.34791506987295034,0.4272791919764922
wetland,2022to2024,pH2,Norway,0.7132460315152567,0.8490382356068503,0.5712404260145587,423,0.6860358780627458,0.7392972642148403
wetland,2022to2024,pH2,Northern,0.6392351925977398,0.837109120454191,0.5531657984651792,182,0.5969788076634919,0.7078313765802225
wetland,2022to2024,pH2,Central,0.7751759531479424,0.8797017743842224,0.5937528099321321,120,0.7132460315152567,0.8032518583247542
wetland,2022to2024,pH2,Western,0.7986784134939274,0.8716648574583341,0.6279077142086762,8,0.5658854067798095,0.9131679083588135
wetland,2022to2024,pH2,Eastern,0.7765522423928943,0.8794679825987489,0.5930623224705591,97,0.6863510341938235,0.8237768626185961
wetland,2022to2024,pH2,Southern,0.5726673894373802,0.6974871229970321,0.5399902852129432,16,0.5309058734118857,0.6967187872909515
wetland,2022to2024,Nitrogen1,Norway,0.7441025088919158,0.8764139954750949,0.5636893164366623,984,0.7321897401911744,0.760491015109734
wetland,2022to2024,Nitrogen1,Northern,0.8282822519110034,0.9075848285946753,0.6469187142678102,259,0.7938984403997654,0.8548414579252963
wetland,2022to2024,Nitrogen1,Central,0.7686683218596655,0.8731136955628754,0.6725133746912562,348,0.7419908763222974,0.7903158162646429
wetland,2022to2024,Nitrogen1,Western,0.7131714879583435,0.8414645611358504,0.5460947735860879,86,0.6840778453547822,0.746364166083137
wetland,2022to2024,Nitrogen1,Eastern,0.6347625484607848,0.7876499635721244,0.3842388358568916,213,0.5898908521061814,0.6741673739218846
wetland,2022to2024,Nitrogen1,Southern,0.7054170231700851,0.8434730522799783,0.40356471415147654,78,0.5919960069637199,0.749885870878587
wetland,2022to2024,Nitrogen2,Norway,0.6402827219699938,0.8337569849519704,0.5667687391825323,725,0.6081842507676115,0.6650360163781771
wetland,2022to2024,Nitrogen2,Northern,0.6511347280691153,0.8396618803829339,0.5635254069616147,283,0.594686012295767,0.6768915331386421
