area,areaId,v_2023,sd_2023,i_2023,reference_high,reference_low,thr,n,n_scaled,n_ref,n_zero,boot_low,boot_high,area_km2
Nord-Norge,1,31.308024571156864,0.009251390224014108,0.8554261813247079,1487.66289053523,0.156176982580064,0.6,127464,20064,102302,5098,0.836725169072487,0.872460243543059,2608.418078237027
Midt-Norge,2,57.34425824661109,0.003497393247259163,0.9113723044943653,1487.66289053523,0.156176982580064,0.6,186159,26735,154372,5052,0.904568247499806,0.917953410397367,4616.112727434686
Østlandet,3,43.40772880499643,0.002855225237840782,0.916805687645624,1487.66289053523,0.156176982580064,0.6,203211,27100,170216,5895,0.911305047091447,0.92198505139736,4681.944110705336
Vestlandet,4,28.440314031909022,0.003316906394126562,0.8251276597646489,1487.66289053523,0.156176982580064,0.6,78023,19530,52970,5523,0.8182219180145,0.831237083319054,771.0736114269447
Sørlandet,5,26.784577115950366,0.013443056445273664,0.9079651162948932,1487.66289053523,0.156176982580064,0.6,125603,17974,104074,3555,0.87900007537154,0.923417938460939,1218.302243812976
Norge,0,41.29512723864089,0.0026012719409343374,0.8976168287998739,1487.66289053523,0.156176982580064,0.6,720460,111403,583934,25123,0.8925604700307628,0.9021438542760409,13895.850771616972
