area,areaId,v_2024,sd_2024,i_2024,reference_high,reference_low,thr,n,sd_pop,sd_ref,i_sd_polygons
Nord-Norge,1,0.378290229095624,0.001833607064638,0.977118165917041,0.212175052700438,5.820037240956022,0.6,4002,0.723302618483966,0.111526735703454,0.1167778812701531
Midt-Norge,2,0.722398213652888,0.002557458051792,0.960048525737131,0.364647659473079,8.013746728880419,0.6,4003,1.367100043838857,0.255850027900126,0.16417970144169494
Østlandet,3,1.76654854477551,0.0034381862516,0.907740401990765,0.841243677590314,8.851045113188613,0.6,4983,2.634969304523223,0.722278415711862,0.24626487477703923
Vestlandet,4,0.694068275616596,0.002449044634091,0.958836161716995,0.151498948931215,10.310519051613463,0.6,4007,1.610895037875001,0.088786698808687,0.15479714210777504
Sørlandet,5,1.483751926664275,0.00264509903609,0.950129038701623,1.016269859302323,9.236207590309839,0.6,4005,1.678573222168803,0.572734881607989,0.17844452693766133
Norge,0,1.0444229178127749,0.0012705850117941304,0.948766426972713,0.5323031249982559,8.465926490616145,0.6,20999,1.8503609269205334,0.5679374137214509,0.18265652638663732
