ID,pop,ref,skog,index
1,NA,NA,NA,NA
2,0.04926706949869792,0.04926706949869792,3.836286239624024,1
3,0.32338532765706385,0.32338532765706385,6.634419552087784,1
4,0.30684792412651907,0.30684792412651907,5.821801155090335,1
5,0.16896093156602648,0.16896093156602648,6.985200634002686,1
6,0.0364764059914483,0.0364764059914483,8.505414155006413,1
7,0.11014024522569443,0.11014024522569443,4.845855590820312,1
8,0.5928209092881944,0.5928209092881944,7.725500610351562,1
9,0.19403215196397572,0.19403215196397572,6.476105743408203,1
10,0.6346605428059896,0.6346605428059896,9.350461395263672,1
11,16.875274658203125,1.559071621365017,11.331133085250856,0
12,0.11014024522569443,0.11014024522569443,4.845855590820312,1
13,0.5590415785047743,0.5590415785047743,10.507604438781733,1
14,0.1333722601996528,0.1333722601996528,6.176461364746098,1
15,13.926162719726563,1.82999516805013,11.313953018188476,0
16,1.696847915649414,0.11622073703342016,11.204487661361695,0.9621
17,NA,NA,NA,NA
18,0.3023709615071615,0.3023709615071615,10.115333770751953,1
19,0.07295579698350695,0.07295579698350695,9.269392410278323,1
20,0.1146388922797309,0.1146388922797309,10.6534990234375,1
21,1.7234797159830728,1.7234797159830728,10.968219366073608,1
22,NA,NA,NA,NA
23,0.8813177829318577,0.8813177829318577,9.589121663411458,1
24,0.16949232313368057,0.16949232313368057,6.457159194946289,1
25,1.29204586452908,1.29204586452908,9.933450393676758,1
