system:index,region,vegClimZoneLab,index,pop,ref,skog,ssbid
1002,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1002
1003,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1003
1004,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1004
1005,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1005
1006,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1006
1007,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1007
1008,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1008
1009,Nord-Norge,Lavalpin sone (LA),0.9935,0.314453125,0.04926706949869792,3.836286239624024,1009
1010,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1010
1011,Nord-Norge,Lavalpin sone (LA),0.9789,0.475341796875,0.04926706949869792,3.836286239624024,1011
1012,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1012
1013,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1013
1014,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1014
1015,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1015
1016,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1016
1017,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1017
1018,Nord-Norge,Lavalpin sone (LA),0.43600000000000005,1.888092041015625,0.04926706949869792,3.836286239624024,1018
1019,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1019
1020,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1020
1021,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1021
1022,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1022
1023,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1023
1024,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1024
1025,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1025
1026,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1026
1027,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1027
1028,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1028
1029,Nord-Norge,Lavalpin sone (LA),1,0.0554351806640625,0.04926706949869792,3.836286239624024,1029
1030,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1030
1031,Nord-Norge,Lavalpin sone (LA),1,0.04926706949869792,0.04926706949869792,3.836286239624024,1031
